Num,Pod Color,Name,Short Description,Episode
0,,Cyber,"A purple version of Stitch with the same abilities, but he is turning into a black, cyborg experiment, part machine part alien. His alien form resembles a cross between some sort of lizard, and koala (and robot) with bat-like face. He has two cyborg arms, three spider-like legs, and half-helmet (right half of his face is metal) with big black cyclopic-like right eye from some unknown incident. His cyborg arms serve many purposes such as cybernatic wiry rope, laser guns, forked harpoon, and welding tool, and his cyborg eye has zoom functions and improves his aim. He is an evil experiment that is a cyborg version of Stitch. He then attempts to put an early ending to their emerging rivalry by proceeding in kidnapping Angel. He is voiced by Paul St. Peter.",Stitch!
1,Green,Shrink,"A small purple experiment with a white lower jaw and chest, three wobbly legs, two stubby little arms and two floppy antennae with two rings on each antenna. Seen in pod form in ""Drowsy"". Designed to zap a green ray from his antennae to change the size of objects. His picture appears on the wall of Jumba's lab in Leroy & Stitch, along with several other pictures of Jumba and Dr. Hämsterviel's early accomplishments.","137,Leroy & Stitch"
2,Blue,Doubledip,"A purple opossum-like experiment with two light purple stripes on the back of his ears, beady eyes and an orange nose (In Leroy & Stitch, his nose is dark purple). Designed to double-dip food. His one true place is with Mrs. Hasagawa as one of her ""cats"". He somehow changed in size in Leroy & Stitch.","220, Leroy & Stitch"
3,Green,Howcome,"Seen in pod form in Stitch! The Movie. Designed to annoy Jumba's neighbors by asking repetitive questions like ""How come?"" and ""Why?""","Leroy & Stitch, Stitch! The Movie"
4,,Squawk,Designed to act like a parrot and annoy people with a shrill shriek.,Leroy & Stitch
5,Red,Truxx,Seen in pod form in Stitch! The Movie. Designed to move Jumba's heavy equipment.,"Leroy & Stitch, Stitch! The Movie"
6,,Percy,Designed to make you walk on all fours.,Leroy & Stitch
7,White,Gigi,"A white Shih Tzu-like experiment with a purple bow. Designed to annoy people with her constant barking. She behaves like a typical ""good dog"": does tricks, licks her owner's face, fetches the morning paper, etc. Because of her appearance and behavior, 007 was adopted by Mertle and wasn't recognized as an experiment until Jumba saw her. Her episode is named ""Yapper"" after the nickname Lilo gave her, but she is officially ""Gigi"" on the experiment name list in Leroy & Stitch. Her one true place is with Mertle as her pet. In Leroy and Stitch, it is revealed that she can speak English very well. At the end of the movie, Mertle joins Lilo and Stitch's ohana because Gigi wants to be in it with the rest of Jumba's experiments. She is voiced by Tress MacNeille.","108, 118, 209, Leroy & Stitch"
8,,Carmine,Designed to smother people in caramel.,Leroy & Stitch
9,Red,Pop,Designed to pop balloons at the enemy to surprise and disorient them.,Stitch!
10,Green,Felix/Oscar,"A green anteater-like experiment with a small body, mouth, arms and legs, a thin tail with a brushy fuzz at the end, a vacuum-like trunk that can fire lasers, dark eyes, short ears, and three dark-tipped spines. Seen in pod form in Stitch! The Movie. Designed to sterilize, disinfect, and clean everything in sight. However, he had a problem with doing these tasks: he threw anything away, assuming it was trash, and tried to ""sterilize"" anyone, assuming they were germs. 010 was upgraded to try to be less of a neat-freak. Instead, he turned into a dirt-maker (renamed Oscar), so Lilo gave him to Gantu. Gantu sent 010 to Hämsterviel, who didn't like him and sent him back. Gantu set him free, and Lilo and Stitch found him. Later, after he was upgraded, they sent him back to Gantu, who sent him back to Hämsterviel, who sent him back to Gantu when Woops almost broke his cover. Felix/Oscar was rescued later in ""Snafu."" The only thing that 010 can say with both of his upgrades is dirty, but with Felix he says it disgustedly, while with Oscar he says it happily. Both of 010's names are a reference to the main characters of The Odd Couple. He is voiced by Tress MacNeille.","131, 224, 226, Leroy & Stitch, Stitch! The Movie"
11,Yellow,Inkstain,Seen in pod form in Stitch! The Movie. Designed to spill ink on everything.,"Leroy & Stitch,Stitch! The Movie"
12,,Antitherm,Designed to keep Jumba's lab insulated and make for Jumba a sunny day.,Leroy & Stitch
13,,Furry,Designed to make people grow more hair.,Leroy & Stitch
14,Yellow,Kernel,"A tan gourd-shaped experiment with a large opening at the top of his head. Designed to pop popcorn. His one true place is in a movie theater. He was mentioned in ""Angel"" when Jumba falsely said, ""624 is harmless early experiment. Designed to...pop popcorn for Jumba's movie night.""",Leroy & Stitch
15,Green,Ruggles,Seen in pod form in Stitch! The Movie. Designed to be a rug that trips you as you walk over him.,Stitch! The Movie
16,Yellow,Malt,Seen in pod form in Stitch! The Movie. Designed to make frozen treats for Jumba.,Stitch! The Movie
17,Red,Lidds,Seen in pod form in Stitch! The Movie. Designed to take lids off containers.,Stitch! The Movie
18,,Puck,"Designed to be a hockey puck that never misses the goal, and never goes in the opposing team's goal.",Leroy & Stitch
19,White,Clumsy,Seen in pod form in Stitch! The Movie. Pod says 19 instead of 019. Designed to drop things.,Leroy & Stitch
