season,episode,description
1,1,"An earthquake rocks the island, prompting Pleakley to study earthquake safety.  When it is discovered that the earthquakes were caused by an experiment, Lilo and Stitch must travel underground to catch it before it cracks the Earth in half (and before Gantu catches it)."
1,2,"Stitch wins an oyster containing a hidden experiment pod at a restaurant crane game. When the pod gets wet, however, the ghostly experiment possesses Scrump the doll and causes all sorts of mischief. When Stitch is blamed, he must prove himself innocent by catching the experiment in the act."
1,3,"After causing chaos at a beauty salon, Lilo and Stitch meet the hair-eating experiment that made Jumba nearly bald. However, when they try to use it to get revenge on Mertle for her cruel words, the hairball gets lose and threatens to eat up all the hair on the island. Meanwhile, Jumba regrows an afro and Gantu gets stuck dancing at a luau. In the end, Clip becomes good and is repurposed to give people the perfect haircut. When Jumba gets his hair cut, he is given back his normal three hairs and realizes that's how he likes it."
1,4,"Lilo rescues an irresistibly cute experiment. Jumba warns that the new experiment will release a terrible odor soon. However, Lilo is invited to Mertle’s FHGH (Future Hawaiian Girls of Hawaii) tea party if she brings the adorable experiment. Stitch is jealous of the attention received by the new experiment and allows Gantu to capture him. Gantu then develops an affection for the cute experiment, making 625 jealous. Lilo and Stitch rescue Mr. Stenchy as he begins to release the odor. Jumba puts Mr. Stenchy on a rocket and sends him to Pleakley's home planet where the odor is considered appealing."
1,5,"Halloween episode. Experiment 300 is discovered, which can morph into a person's worst fear.  It is revealed that Mertle and her friends' worst fear is seeing Lilo without her head, and Lilo has fears of clowns and an abandoned house. Stitch's worst fear is water, and Nani's worst fear is hearing Cobra Bubbles say that he has to take away Lilo. Jumba's worst fear is his ex-wife. Pleakley's worst fear is his mother."
1,6,"Mertle receives a charm bracelet for her birthday, but one of the charms is actually an experiment pod. Lilo and Stitch must try to retrieve it before she gets it wet, or else the universe will be sucked into a black hole. Meanwhile, Nani must prepare for a company inspection."
1,7,"A tsunami-creating experiment appears with the threat of endangering the entire world if it reaches the ocean. Lilo and Stitch must use the newly designed X-Buggy to capture it before Gantu does. Meanwhile, Lilo's hula halau participates in a sand-sculpting contest."
1,8,"Mertle gets a pet dog, names her ""Gigi"" and enters her in a dog show in Honolulu, and Lilo enters Stitch in the same dog show in hopes of beating Mertle and winning her friendship. Meanwhile, Jumba and Pleakley go sightseeing around the city and run into Gantu."
1,9,"Two experiments activate at the same time while Lilo and Stitch are arguing.  Lilo and Stitch insist that they each can catch an experiment without the other. Meanwhile, Jumba and Pleakley make a bet to see which one will capture an experiment first, and Gantu forces 625 to help him catch them both. The race is on because Jumba theorizes that the world will be doomed if the two elementally opposing experiments touch each other, they will destroy Earth.  Eventually, Lilo and Stitch team up together again and help each other capture the experiments each was after using the ""tools"" given to them by Jumba and Pleakley. Lilo repurposes the experiments to create a new island."
1,10,"An experiment causes trouble by bullying people around the island, and a chemical reaction from a bad snack combination results in Stitch losing his ability to fight. Lilo must retrain him so that he can defeat Kixx before Gantu does."
